pk	evidence	params
579	[-847. -847. -847. -847. -847.]	[ 0.    -0.155  3.469  2.838  0.649 -0.996  1.342  1.948]
530	[-1118. -1174. -1118. -1118. -1118.]	[ 0.     0.368  4.07   1.86   0.082 -1.358  3.594  4.575]
459	[-2358. -2358. -2358. -2358. -2358.]	[ 0.     1.382  2.755  3.256  0.916 -0.941  2.152  3.796]
555	[-1020. -1017.  -938.  -980. -1020.]	[ 0.     0.212  2.871  1.466  0.392 -0.966  2.523  2.435]
482	[ 1060. -1584. -1576. -1576. -1576.]	[ 0.     0.458  1.913  2.492  0.951 -0.875  2.665  2.069]
411	[-2269. -2269.  1036. -2269. -2269.]	[ 0.     1.801  3.704  2.131  1.91  -1.017  0.989  2.45 ]
436	[-2189. -2275.  1035. -2189. -2275.]	[ 0.     1.597  4.186  3.574  1.984 -1.17   0.771  2.845]
506	[-1536. -1536.  1050. -1536. -1536.]	[ 0.     0.824  3.524  2.248  0.464 -1.021  2.371  1.899]
531	[-1120. -1120.  1045. -1120. -1120.]	[ 0.    -0.402  1.795  1.322  1.163 -0.564  2.127  3.792]
580	[-1110. -1110. -1110. -1110. -1110.]	[ 0.     0.713  2.962  3.269  0.576 -1.035  1.33   1.464]
556	[-898. -898. 1043. -898. -810.]	[ 0.     0.184  3.222  2.214  0.878 -1.815  2.733  2.94 ]
460	[-2195. -2195. -2195. -2195. -2195.]	[ 0.     0.682  3.282  2.884  0.899 -0.667  2.031  2.51 ]
412	[-2317. -2317. -2317. -2317. -2317.]	[ 0.     1.841  3.808  2.292  1.901 -1.043  0.967  2.466]
483	[-1677. -1677. -1677. -1677. -1677.]	[ 0.     0.68   3.032  2.052  0.851 -0.712  2.365  1.439]
437	[-2344. -2344. -2255. -2344. -2344.]	[ 0.     1.634  4.268  3.7    1.887 -1.123  0.736  2.83 ]
507	[ 1047. -1524. -1517. -1539. -1517.]	[ 0.     0.941  3.501  2.063  0.47  -1.044  2.395  1.883]
532	[ 1043. -1136. -1136. -1136. -1127.]	[ 0.     0.258  2.202  1.832  0.738 -0.96   1.683  2.992]
581	[-723. -890. 1186. -890. -747.]	[ 0.    -0.813  3.185  2.148  0.764 -0.904  2.942  3.831]
461	[-1883. -1790.  1051. -1845. -1833.]	[ 0.     0.479  1.557  2.903  0.791 -0.493  2.391  2.608]
557	[ 1042. -1017. -1011. -1003. -1013.]	[ 0.    -0.012  3.59   2.927  0.386 -1.174  1.932  2.704]
413	[-2316. -2316. -2316. -2316. -2316.]	[ 0.     1.858  3.916  2.264  1.919 -1.043  0.946  2.418]
438	[-2323. -2323. -2323. -2249. -2323.]	[ 0.     1.645  4.396  3.707  1.67  -0.967  0.653  2.531]
484	[-1607. -1607. -1559. -1561. -1607.]	[ 0.     0.377  4.052  2.58   0.378 -0.999  3.151  2.398]
582	[1163. -730. -730. -702. -697.]	[ 0.    -0.196  3.001  2.411  0.821 -1.384  3.327  1.636]
508	[-1606. -1606. -1606. -1606. -1606.]	[ 0.     0.209  3.208  2.931  0.432 -0.697  1.652  3.523]
533	[-1299. -1299. -1299. -1299. -1284.]	[ 0.     1.083  2.661  2.629  0.527 -1.608  2.424  2.557]
462	[-1842. -1872. -1872. -1872. -1872.]	[ 0.     0.572  2.104  2.543  1.024 -0.834  2.98   2.121]
414	[-2329. -2329. -2329. -2329. -2329.]	[ 0.     1.882  3.996  2.187  1.971 -1.015  0.923  2.351]
439	[-2320. -2320. -2320. -2252. -2252.]	[ 0.     1.647  4.441  3.618  1.688 -0.938  0.638  2.472]
558	[-948. -964. -948. -948. -948.]	[ 0.     0.028  3.196  3.131  0.48  -1.003  1.491  2.03 ]
485	[-1719. -1719. -1719. -1681. -1719.]	[ 0.     0.871  1.634  2.545  0.799 -0.865  2.269  2.568]
583	[-774. -711. -804. -815. -804.]	[ 0.    -0.008  3.162  2.528  0.902 -1.245  2.217  1.387]
534	[-1354. -1354. -1345. -1354. -1345.]	[ 0.     0.658  3.355  1.818  0.56  -0.906  2.003  1.781]
509	[-1629. -1622. -1636. -1622. -1636.]	[ 0.     0.832  3.478  1.809  0.292 -1.108  2.81   3.695]
463	[-1925. -1953. -1941. -1925. -1941.]	[ 0.     0.245  3.644  2.608  1.231 -0.871  2.794  2.069]
415	[-2323. -2323. -2323. -2323. -2323.]	[ 0.     1.924  3.917  2.137  2.025 -1.029  0.943  2.344]
440	[-2445. -2445. -2445. -2445. -2445.]	[ 0.     0.897  3.183  2.986  1.161 -0.753  2.148  2.604]
559	[-1016. -1016. -1016. -1016. -1016.]	[ 0.    -0.086  3.518  2.846  0.718 -0.959  1.401  2.028]
486	[-1795. -1795.  1044. -1795. -1795.]	[ 0.     0.96   3.636  2.341  0.536 -0.998  2.573  2.013]
464	[-1881. -1881. -1865. -1865. -1881.]	[ 0.     0.456  4.055  2.905  0.459 -0.944  3.416  2.49 ]
584	[-693. -630. -693. -678. -685.]	[ 0.     0.231  3.652  2.16   0.121 -1.239  2.894  1.557]
510	[-1328. -1328. -1263. -1328. -1328.]	[ 0.     0.031  2.349  1.547  1.005 -0.795  1.816  3.877]
535	[-1213. -1213. -1213. -1209. -1213.]	[ 0.     0.268  3.099  1.583  0.432 -0.937  2.603  2.555]
416	[-2282.  1035. -2282. -2282. -2282.]	[ 0.     1.958  3.822  2.131  2.017 -1.051  0.979  2.317]
441	[-2091.  1044. -2081. -2021. -2081.]	[ 0.     0.629  1.686  3.051  0.956 -0.622  2.543  2.827]
560	[-1269. -1269. -1269.  1215. -1269.]	[ 0.     0.653  3.044  3.195  0.608 -0.965  1.604  1.452]
487	[-1753. -1798. -1774. -1798. -1774.]	[ 0.     1.098  3.609  2.155  0.52  -1.019  2.529  2.067]
511	[-1145. -1296.  1041. -1283. -1324.]	[ 0.    -0.36   1.988  1.331  1.215 -0.53   2.253  4.227]
465	[-2004. -2004. -2004. -2004. -2004.]	[ 0.     1.     1.77   2.67   0.919 -0.851  2.453  2.694]
536	[ -933. -1075.  1040. -1075.  -915.]	[ 0.     0.284  3.299  2.2    0.985 -1.788  2.893  2.942]
442	[-2109. -2107. -2107. -2107. -2107.]	[ 0.     0.967  2.608  2.571  0.922 -0.811  2.077  2.702]
585	[-699. -730. -730. -681. -699.]	[ 0.     0.659  0.89   2.069  0.562 -1.258  3.138  2.076]
417	[-2318. -2318. -2318. -2318. -2318.]	[ 0.     1.996  3.803  2.193  1.96  -1.09   1.032  2.386]
561	[-1011.  -934.  1183.  -878.  -890.]	[ 0.    -0.792  3.27   2.192  0.757 -0.823  2.965  3.864]
488	[-1859. -1859. -1859. -1859. -1859.]	[ 0.     0.245  3.44   3.284  0.61  -0.678  1.724  3.551]
466	[-2034.  1042. -2074. -2074. -2074.]	[ 0.     1.101  3.705  2.519  0.638 -0.98   2.795  2.184]
512	[-1360. -1340. -1360. -1360. -1351.]	[ 0.     0.387  2.369  2.002  0.754 -0.937  1.726  3.217]
537	[-1204. -1193. -1204. -1033. -1204.]	[ 0.     0.051  3.764  3.005  0.446 -1.149  2.024  2.896]
586	[-877. -873. 1102. -873. -873.]	[ 0.     0.579  3.467  3.167 -0.257 -1.647  3.549  3.498]
562	[-831. -749. -853. -870. 1158.]	[ 0.     0.277  1.473  2.456  0.744 -1.212  3.395  1.682]
443	[-2136. -2157. -2157. -2157. -2157.]	[ 0.     0.965  3.545  2.213  1.122 -0.781  2.006  2.254]
418	[-2321. -2321. -2321. -2321. -2321.]	[ 0.     2.005  3.763  2.224  1.918 -1.117  1.044  2.438]
467	[-2073. -2073. -2073. -2073. -2073.]	[ 0.     1.248  3.714  2.309  0.61  -0.99   2.669  2.278]
489	[-1880. -1903. -1892. -1903. -1879.]	[ 0.     0.971  3.634  1.867  0.419 -1.047  2.91   3.708]
587	[-838. -836. -838. -848. 1092.]	[ 0.     0.501  3.056  3.179 -0.027 -1.36   3.409  1.612]
538	[-1035. -1154. -1150. -1035. -1154.]	[ 0.     0.1    3.349  3.247  0.529 -0.992  1.603  2.157]
444	[-2140.  1042. -2122. -2085. -2140.]	[ 0.     0.984  1.899  2.203  0.995 -0.789  2.888  3.284]
513	[-1531. -1531. -1526. -1531. -1531.]	[ 0.     1.209  2.854  2.79   0.587 -1.582  2.545  2.675]
419	[-2325.  1035. -2325. -2325. -2325.]	[ 0.     2.035  3.799  2.218  1.926 -1.105  1.009  2.424]
563	[-953. -882. -958. -949. -923.]	[ 0.     0.03   3.231  2.541  0.945 -1.212  2.324  1.466]
588	[-925. -915. -925. 1084. -915.]	[ 0.    -0.124  3.645  3.866  0.061 -1.474  3.592  3.931]
468	[-2127. -2127. -2127. -2127. -2127.]	[ 0.     0.359  3.672  3.695  0.771 -0.65   1.79   3.39 ]
490	[-1522. -1526. -1522. -1570. -1623.]	[ 0.     0.469  4.378  2.08   0.248 -1.269  3.967  5.   ]
445	[-2265. -2265. -2265. -2265. -2265.]	[ 0.     1.047  1.954  2.902  1.087 -0.836  2.486  2.908]
539	[-1209. -1209. -1209. -1209. -1209.]	[ 0.    -0.012  3.584  2.908  0.786 -0.924  1.474  2.14 ]
420	[-2275. -2275. -2275. -2275. -2275.]	[ 0.     1.137  3.469  3.448  0.28  -0.757  2.695  2.583]
514	[-1582. -1582. -1582. -1582. -1582.]	[ 0.     0.757  3.44   1.905  0.631 -0.893  2.159  1.937]
564	[-831. -831. -788. -720. -810.]	[ 0.     0.258  3.694  2.197  0.157 -1.192  2.971  1.658]
469	[-2187.  1039. -2187. -2187. -2187.]	[ 0.     1.074  3.722  1.993  0.615 -0.946  2.877  3.701]
446	[-2330. -2330. -2330. -2330. -2330.]	[ 0.     1.243  3.724  2.717  0.781 -0.924  2.813  2.275]
491	[-1564.  1039. -1564. -1552. -1564.]	[ 0.     1.076  2.036  1.072  0.773 -0.94   2.537  3.49 ]
589	[-934. -934. -934. -934. -934.]	[ 0.     0.134  2.994  1.589  0.162 -1.17   3.351  3.565]
540	[-1404. -1404. -1404. -1404. -1404.]	[ 0.087  0.593  3.108  3.01   0.63  -0.87   1.849  1.545]
421	[-2015. -2015. -2171. -2171. -2015.]	[ 0.     1.217  4.039  3.44   1.397 -0.748  0.601  2.436]
515	[-1440. -1446. -1446. -1440. -1446.]	[ 0.     0.329  3.378  1.756  0.483 -0.899  2.707  2.706]
470	[-1864. -1831. -1844. -1831. -1831.]	[ 0.     0.579  4.391  2.154  0.317 -1.175  4.105  5.   ]
447	[-2339. -2339. -2339. -2339. -2339.]	[ 0.     1.333  3.723  2.644  0.918 -0.921  2.535  2.28 ]
565	[-882. -834. -882. -882. -882.]	[ 0.     0.663  1.231  2.365  0.486 -1.019  2.015  1.97 ]
541	[-1031.  1185. -1109. -1012. -1051.]	[ 0.    -0.753  3.339  2.333  0.684 -0.715  2.806  3.701]
492	[-1644. -1644. -1644. -1626. -1644.]	[ 0.     0.983  2.751  2.58   0.597 -1.11   1.954  2.958]
590	[-635. -624. -721. -635. -635.]	[ 0.     0.273  3.735  1.77  -0.13  -1.486  3.572  4.048]
422	[-2086. -2086. -2086. -2086. -2086.]	[ 0.     1.114  4.046  2.886  1.012 -0.881  1.374  2.185]
516	[-1291.  1038. -1101. -1117. -1291.]	[ 0.     0.491  3.325  2.115  1.181 -1.771  3.05   2.789]
448	[-2373. -2373. -2373. -2373.  1039.]	[ 0.     0.862  3.349  3.067  1.193 -0.763  1.578  3.924]
471	[-1874. -1874. -1874. -1874. -1874.]	[ 0.     1.168  2.167  1.301  0.925 -0.905  2.696  3.797]
542	[-990. -990. -982. -967. 1157.]	[ 0.     0.656  3.035  1.599  0.364 -0.726  2.439  0.943]
566	[-1019.  1094. -1015.  -982. -1019.]	[ 0.     0.72   2.845  2.217 -0.022 -1.554  3.515  3.809]
423	[-2201. -2201. -2161. -2201.  1041.]	[ 0.     1.288  4.075  3.253  0.114 -0.798  2.644  2.478]
493	[-1817. -1817. -1817. -1817. -1803.]	[ 0.     1.216  2.793  2.551  0.608 -1.185  2.407  2.777]
449	[ 1038. -2425. -2425.  1038. -2425.]	[ 0.     1.09   3.384  2.242  1.049 -0.881  2.426  4.314]
591	[-605. 1068. -635. -635. -635.]	[ 0.    -0.349  1.6    1.241  0.939 -0.822  1.808  3.262]
472	[-2008. -2008. -2008. -2008. -2008.]	[ 0.     1.165  3.092  3.088  0.578 -1.055  2.429  3.306]
517	[-1431. -1420. -1431. -1431. -1420.]	[ 0.     0.122  3.976  3.206  0.521 -1.129  2.137  3.193]
424	[ 1040. -2097. -2097.  1040. -2097.]	[ 0.     1.303  2.54   2.129  1.221 -0.86   2.217  1.848]
494	[-1851.  1038. -1851. -1851. -1851.]	[ 0.     0.93   3.446  2.061  0.731 -0.911  2.301  2.211]
543	[-1053. -1066. -1068. -1087. -1057.]	[ 0.     0.066  3.283  2.532  0.955 -1.164  2.367  1.563]
567	[-978. -990. -978. -993. -978.]	[ 0.    -0.038  3.1    1.853  0.759 -1.126  3.379  1.727]
600	[-952. -952. -952. -952. -952.]	[ 0.     0.747  2.859  3.23   0.536 -1.089  1.161  1.446]
592	[-660. -660. -660. -660. -660.]	[ 0.     0.041  1.935  1.576  0.602 -1.014  1.595  2.622]
473	[-2136. -2136. -2136. -2136.  1037.]	[ 0.     1.341  2.967  2.771  0.666 -1.14   2.938  2.961]
518	[-1386. -1386. -1386. -1386. -1386.]	[ 0.     1.134  3.594  3.343  0.526 -1.37   1.782  1.724]
495	[-1722. -1700. -1700. -1700.  1037.]	[ 0.     0.411  3.655  1.962  0.57  -0.862  2.847  2.878]
625	[-452. -452. -459. -459. -452.]	[ 0.     0.567  0.81   1.89   0.44  -1.326  3.252  1.951]
601	[1191. 1191. -769. -769. -573.]	[ 0.    -0.811  3.09   2.179  0.753 -1.01   2.957  3.595]
544	[-978. 1114. -920. -978. -930.]	[ 0.     0.273  3.762  2.259  0.196 -1.146  2.954  1.819]
474	[ 1037. -2163. -2163.  1037. -2163.]	[ 0.     1.144  3.49   2.463  0.903 -0.967  2.417  2.527]
593	[-827. -827. -827. -827. -827.]	[ 0.     1.017  2.476  2.45   0.364 -1.801  2.293  2.248]
568	[-1057. -1011. -1057. -1057. -1057.]	[ 0.     0.177  3.244  2.761  0.057 -0.91   1.506  3.637]
519	[-1435.  1037. -1435. -1435. -1435.]	[ 0.     0.066  3.592  3.039  0.858 -0.884  1.576  2.325]
626	[1124. -591. -590. -615. -615.]	[ 0.     0.443  3.378  3.173 -0.312 -1.731  3.529  3.161]
496	[-1358. -1560. -1560. -1541. -1353.]	[ 0.     0.77   3.362  2.083  1.341 -1.727  3.019  2.893]
594	[-704. 1057. -855. -855. -855.]	[ 0.     0.03   3.138  3.535  0.54  -1.122  1.5    1.762]
602	[-563. -597. -531. -555. -594.]	[ 0.     0.305  2.72   3.013  0.134 -1.885  2.981  4.   ]
545	[-1046. -1046. -1027. -1046. -1046.]	[ 0.     0.649  1.336  2.513  0.557 -0.965  1.969  2.077]
650	[-339. -263. -245. -263. -245.]	[ 0.     0.089  3.514  1.594 -0.231 -1.56   3.397  3.595]
569	[-1080.  1070. -1080. -1080. -1080.]	[ 0.     0.162  3.067  1.646  0.205 -1.124  3.487  3.622]
520	[-1462. -1462. -1462. -1462. -1462.]	[ 0.     0.366  3.159  2.783  0.7   -0.733  1.733  1.75 ]
497	[-1695. -1695. -1695. -1689. -1695.]	[ 0.     0.666  3.597  3.188  0.864 -1.439  2.232  3.529]
603	[-695. 1150. -695. 1150. -695.]	[ 0.     0.449  1.673  2.184  0.227 -1.555  3.111  3.967]
651	[1099. -223. -242. -242. -242.]	[ 0.    -0.447  3.331  3.126  0.51  -2.053  3.095  3.093]
627	[-586. -591. -591. -561. -591.]	[ 0.     0.221  3.28   3.161 -0.188 -1.656  3.672  2.765]
546	[-1135. -1128. -1135. -1135. -1128.]	[ 0.     0.702  3.161  2.075  0.352 -1.103  2.199  1.741]
595	[-723. -723. -723. -723. -723.]	[ 0.     0.241  3.127  2.61   0.555 -2.022  3.414  3.059]
570	[-780. -780. -865. -865. -780.]	[ 0.     0.325  3.83   1.832 -0.088 -1.456  3.653  4.201]
521	[-1198. -1198. -1198. -1193. -1193.]	[ 0.    -0.676  3.386  2.624  0.593 -0.58   2.348  3.408]
628	[-710. 1106. -710. 1106. -710.]	[ 0.    -0.204  3.406  3.91   0.013 -1.56   3.832  3.669]
498	[-1671. -1671. -1671. -1671.  1036.]	[ 0.     1.198  3.553  3.662  0.61  -1.286  2.162  1.768]
604	[-567. -522. -572. -455. -550.]	[ 0.     0.372  3.025  2.951  0.053 -1.718  3.201  2.06 ]
652	[-349. -230. -349. -349. -349.]	[ 0.    -0.024  3.433  3.321  0.542 -2.285  2.843  3.059]
547	[-1133. -1125. -1113. -1133. -1125.]	[ 0.     0.809  3.176  1.907  0.363 -1.124  2.253  1.668]
499	[ 1036. -1701. -1701.  1036. -1701.]	[ 0.     0.153  3.515  3.227  0.934 -0.858  1.757  2.698]
596	[-459. -459. -622. -622. -498.]	[ 0.    -0.013  3.189  2.447  0.688 -1.924  2.694  3.145]
629	[-663. -663. -663. -663. -663.]	[ 0.     0.038  2.847  1.496  0.098 -1.237  3.091  3.445]
571	[-782. -782. -782. -782. -782.]	[ 0.    -0.401  1.634  1.254  0.991 -0.717  2.015  3.402]
522	[-1121. -1099. -1105. -1099. -1099.]	[ 0.    -0.395  3.722  1.598  0.742 -0.65   1.789  3.861]
653	[-424. 1088. -411. 1088. -411.]	[ 0.     0.457  2.555  3.319 -0.432 -1.495  2.589  2.233]
548	[-1143. -1209. -1209. -1209.  1068.]	[ 0.     0.216  3.292  2.742  0.102 -0.832  1.565  3.566]
605	[-529. -587. -559. -587. -559.]	[ 0.     0.623  1.396  1.959 -0.091 -1.117  1.822  4.11 ]
675	[-163. -193. -163. -163. -193.]	[ 0.    -0.127  2.745  2.794  0.374 -2.077  2.891  2.496]
523	[-1191. -1196. -1191. -1186.  1116.]	[ 0.     0.108  3.22   2.564  0.838 -0.974  2.226  1.558]
572	[-799. -799. -799. -799. -851.]	[ 0.     0.147  3.891  3.759  0.808 -2.215  3.16   3.614]
630	[-205. -459. -367. -459. -378.]	[ 0.     0.15   3.58   1.657 -0.199 -1.539  3.451  3.761]
597	[-717. -742. -717. -652. -717.]	[ 0.    -0.135  3.99   3.695  0.742 -1.886  2.186  3.417]
654	[-421. -421. -421. -421. -421.]	[ 0.    -0.067  2.801  3.428  0.34  -1.186  1.261  1.552]
549	[ 1062. -1214. -1217.  1062. -1196.]	[ 0.     0.583  3.179  1.7    0.143 -1.163  2.698  3.582]
524	[ 1094. -1117. -1078.  1094. -1117.]	[ 0.     0.274  3.847  2.302  0.246 -1.085  2.568  2.151]
676	[1089. -159. -159. -159. -159.]	[ 0.    -0.25   3.225  2.72   0.392 -2.051  2.318  2.978]
573	[-967. -967. -967. -967. 1054.]	[ 0.     1.053  2.536  2.522  0.397 -1.752  2.386  2.328]
598	[-646. -646. -588. -646. 1049.]	[ 0.    -0.099  2.877  2.992  0.394 -1.025  1.323  1.856]
606	[-745. -745. -745. -745. -745.]	[ 0.     0.511  3.431  3.223 -0.289 -1.699  3.586  3.344]
631	[-355. -355. -360. -355. -355.]	[ 0.    -0.335  3.494  3.323  0.656 -2.132  3.199  2.984]
700	[-300. -269. -269. -292. -292.]	[ 0.     0.62   2.659  2.973  0.437 -1.404  0.981  1.076]
655	[-317. -317. -317. -111. -289.]	[ 0.    -0.073  2.839  2.826  0.436 -2.055  3.016  2.59 ]
725	[ 9. 15.  9. 49. 20.]	[ 0.    -0.438  3.881  2.391  0.004 -1.543  2.22   1.967]
677	[  19. -211. -242. -211. -198.]	[ 0.    -0.348  3.434  3.544  0.524 -1.972  2.032  2.867]
574	[ 1051.  -990. -1004.  1051.  -990.]	[ 0.     0.056  3.215  3.512  0.608 -1.09   1.599  1.824]
599	[1048. -689. -617. 1048. -689.]	[ 0.    -0.208  3.43   2.807  0.58  -1.037  1.287  1.884]
607	[1103. -715. -715. -699. -715.]	[ 0.     0.329  3.301  3.119 -0.168 -1.642  3.705  2.911]
632	[1081. -472. -398. -398. -398.]	[ 0.     0.014  3.564  3.484  0.615 -2.269  2.908  3.163]
701	[1229. -228. -228. -228. -150.]	[ 0.    -0.817  2.446  2.153  0.547 -1.317  3.034  2.784]
678	[ -80. 1084.  -80. 1084.   56.]	[ 0.    -0.224  2.505  2.549  0.176 -1.146  1.014  1.577]
656	[-271. -271. -271. -271. -229.]	[ 0.    -0.209  3.277  2.73   0.456 -2.029  2.427  3.074]
726	[1186.  -93.  -93.  -93.  -82.]	[ 0.     0.167  3.27   2.568 -0.404 -1.793  2.904  2.465]
750	[94. 94. 94. 94. 94.]	[ 0.    -0.093  3.17   1.308 -0.35  -1.639  3.093  2.945]
633	[-544. -544. -544. -544. -544.]	[ 0.     0.774  2.604  2.351  0.303 -1.875  1.966  2.244]
775	[232. 232. 232. 277. 232.]	[ 0.    -0.244  2.38   2.414  0.108 -2.176  2.525  2.202]
608	[-782. -732. -817. -732. -732.]	[ 0.    -0.164  3.529  3.892  0.035 -1.515  3.7    3.796]
657	[1074. -330. -261. -330. -104.]	[ 0.    -0.323  2.601  3.265  0.231 -1.336  1.501  2.505]
702	[-69. -94. -96. -69. -94.]	[ 0.     0.412  2.987  3.446  0.542 -1.335 -0.295  2.942]
679	[-113.  -99. -113. -113.  -99.]	[ 0.    -0.358  3.11   2.526  0.299 -1.207  1.11   1.617]
727	[-100. -100. -100. -100. -100.]	[ 0.    -0.457  3.464  2.878 -0.124 -1.558  2.719  2.512]
751	[1166.  264.  197.  197.  254.]	[ 0.    -0.554  2.873  2.528  0.222 -2.146  2.724  2.836]
776	[1158.  250.  250.  250.  250.]	[ 0.    -0.387  2.875  2.483  0.156 -2.138  1.946  2.594]
703	[ -61. 1200. -131. 1200. -131.]	[ 0.     0.315  1.489  1.794  0.022 -1.794  3.2    3.411]
634	[-563. -563. -563. -563. -563.]	[ 0.    -0.032  2.931  3.476  0.403 -1.164  1.329  1.622]
609	[-797. -797. -797. -797. -797.]	[ 0.     0.088  2.924  1.541  0.128 -1.207  3.231  3.514]
728	[-231. 1171. 1171. 1171. -231.]	[ 0.    -0.349  3.011  3.869 -0.114 -1.76   4.059  3.158]
658	[-210. -210.  -72. -210. -210.]	[ 0.    -0.201  2.588  2.656  0.234 -1.113  1.086  1.644]
680	[-386. -385. -404. -385. -385.]	[ 0.     0.655  2.688  2.991  0.445 -1.338  0.986  1.146]
704	[-105. -105. -105. -105. -101.]	[ 0.     0.191  2.846  2.569 -0.112 -1.816  2.795  1.796]
752	[120. 120. 120. 120. 120.]	[ 0.    -0.177  2.815  2.745  0.247 -2.379  2.681  2.744]
635	[-424. -424. -427. 1070. -449.]	[ 0.     0.006  2.932  2.792  0.489 -2.039  3.152  2.715]
777	[231. 212. 212. 187. 231.]	[ 0.    -0.493  3.058  3.132  0.319 -2.07   1.742  2.426]
610	[-321. -587. -321. 1081. -498.]	[ 0.     0.213  3.653  1.715 -0.166 -1.514  3.508  3.913]
729	[-133. -133. -133. -133. -133.]	[ 0.    -0.038  2.363  1.349 -0.029 -1.336  2.021  2.962]
659	[-245. 1070. -245. -245. -245.]	[ 0.    -0.322  3.214  2.603  0.369 -1.167  1.144  1.685]
681	[-149. -322. -213. -262. -262.]	[ 0.    -0.816  2.619  2.196  0.602 -1.294  3.036  2.906]
753	[  54. 1155.   54. 1155.   54.]	[ 0.     0.028  2.752  2.82  -0.236 -1.851  2.154  2.146]
636	[-228. -386. 1067. -386. -386.]	[ 0.    -0.163  3.293  2.7    0.525 -2.004  2.545  3.17 ]
778	[ 362. 1152.  362. 1152.  476.]	[ 0.    -0.285  2.172  2.212 -0.067 -1.297  0.757  1.359]
705	[-59. -45. -59. -27. -52.]	[ 0.    -0.423  3.792  2.413  0.025 -1.518  2.337  2.027]
611	[-482. -493. 1076. -493. -493.]	[ 0.    -0.362  1.577  1.194  0.871 -0.876  1.72   3.136]
660	[-523. -491. -523. 1236. -492.]	[ 0.     0.692  2.712  3.027  0.457 -1.272  0.997  1.23 ]
730	[256.  32.  32.  32.  32.]	[ 0.    -0.073  3.242  1.354 -0.333 -1.626  3.155  3.028]
682	[1206. -179. -155. -171. -155.]	[ 0.     0.202  2.475  2.788  0.024 -2.061  2.595  3.929]
637	[-452. -455. -452. -455. -490.]	[ 0.    -0.255  3.712  3.737  0.637 -1.93   2.133  3.129]
754	[125. 108. 125. 125. 108.]	[ 0.    -0.181  2.208  3.494  0.084 -1.347  1.085  1.289]
661	[-359. -359. 1212. -290. -290.]	[ 0.     1.028  3.047  3.171  0.319 -1.082 -0.006  1.486]
706	[-171. -156. -171. -147. -171.]	[ 0.     0.212  3.262  2.675 -0.39  -1.788  3.014  2.562]
779	[323. 323. 323. 323. 323.]	[ 0.    -0.839  2.508  2.472 -0.152 -1.472  1.875  2.142]
612	[-527. -598. -527. -527. -598.]	[ 0.     0.055  3.684  3.647  0.688 -2.254  2.97   3.28 ]
731	[134. 134. 185. 202. 134.]	[ 0.    -0.542  2.933  2.604  0.263 -2.125  2.785  2.88 ]
638	[-281. -350. 1062. -213. -305.]	[ 0.    -0.174  2.675  2.769  0.291 -1.079  1.162  1.715]
683	[-135. -221. -221. -221. -125.]	[ 0.     0.349  1.413  1.787  0.052 -1.699  3.143  3.631]
755	[175. 175. 175. 175. 175.]	[ 0.    -0.232  2.432  2.477  0.148 -2.16   2.571  2.244]
707	[1167. -176. -176. -176. -176.]	[ 0.    -0.431  3.469  2.967 -0.124 -1.533  2.843  2.62 ]
662	[-236. -253. -172. -253. -274.]	[ 0.     0.236  2.559  2.888  0.068 -2.052  2.67   4.012]
780	[-16. -24. -16. -24. -18.]	[ 0.     0.487  1.039  1.597  0.555 -1.925  2.092  3.08 ]
613	[-648. -395. 1067. -678. -684.]	[ 0.     0.919  2.412  2.34   0.34  -1.818  2.168  2.198]
732	[1147.   52.   52.   52.   52.]	[ 0.    -0.154  2.91   2.82   0.295 -2.363  2.688  2.779]
663	[-325. -325. 1180. 1180. -267.]	[ 0.     0.377  1.436  1.857  0.093 -1.65   3.102  3.754]
639	[-388. -388. -388. -388. -388.]	[ 0.    -0.287  3.307  2.68   0.439 -1.125  1.186  1.756]
684	[-174. -183. -183. -174. -129.]	[ 0.     0.213  2.871  2.661 -0.085 -1.818  2.864  1.933]
708	[-313. -313. -313. -313. -313.]	[ 0.    -0.323  3.062  3.979 -0.084 -1.74   4.093  3.252]
756	[192. 192. 192. 192. 192.]	[ 0.    -0.368  2.936  2.53   0.19  -2.124  1.996  2.652]
781	[  74.   47.   83. 1269.   78.]	[ 0.    -0.794  1.881  1.992  0.371 -1.361  2.99   2.493]
614	[-709. 1064. -709. -709. -709.]	[ 0.000e+00  1.000e-03  3.046e+00  3.514e+00  4.710e-01 -1.143e+00
  1.408e+00  1.692e+00]
733	[-15. -17. -15. -15.  18.]	[ 0.     0.143  2.501  2.943 -0.551 -1.544  2.303  2.065]
685	[-115. -102. 1172. 1172. -140.]	[ 0.    -0.407  3.724  2.443  0.051 -1.491  2.474  2.095]
664	[-270. 1169. 1169. -270. -270.]	[ 0.     0.239  2.903  2.758 -0.055 -1.81   2.949  2.035]
782	[1257.  231.  175.  126.  151.]	[ 0.     0.326  3.295  3.247  0.418 -1.493 -0.29   2.796]
757	[1138.  127.  224.  152.  172.]	[ 0.    -0.473  3.105  3.184  0.35  -2.054  1.786  2.486]
709	[-215. -215. -215. -215. -215.]	[ 0.    -0.033  2.451  1.374 -0.005 -1.319  2.146  3.062]
640	[-593. -655. -655. -610. -655.]	[ 0.     0.726  2.737  3.086  0.475 -1.206  1.021  1.315]
734	[1138.   31.   54. 1138.   31.]	[ 0.    -0.165  2.304  3.435  0.128 -1.315  1.097  1.326]
