pk	evidence	params
92	[-4360. -4360.  1023. -4360.  1023.]	[2.648 5.    5.    3.511 3.57  0.395 4.096 4.747]
167	[-4313. -4313.  1022. -4313.  1022.]	[0.    5.    5.    2.168 3.553 0.169 2.634 5.   ]
42	[-4361. -4361.  1023. -4361.  1023.]	[2.426 5.    5.    3.477 3.489 0.372 4.092 4.739]
17	[-4283. -4283.  1023. -4283.  1023.]	[2.901 5.    5.    3.199 3.452 0.187 4.455 4.54 ]
142	[-4361. -4361.  1022. -4361.  1022.]	[0.    5.    5.    2.355 3.652 0.344 2.57  5.   ]
118	[ 1023. -4375. -4375. -4375. -4375.]	[2.243 5.    5.    3.403 3.593 0.435 3.821 4.757]
193	[ 1022. -4256. -4256. -4256. -4256.]	[ 0.     5.     5.     2.192  3.434 -0.056  2.729  4.671]
67	[-4350. -4350.  1023. -4350.  1023.]	[2.735 5.    5.    3.494 3.554 0.376 4.164 4.733]
168	[ 1022. -4316. -4316. -4316. -4316.]	[0.    5.    5.    2.152 3.551 0.194 2.643 5.   ]
43	[ 1023. -4354. -4354. -4354. -4354.]	[2.547 5.    5.    3.463 3.509 0.367 4.127 4.729]
93	[ 1023. -4358. -4358. -4358. -4358.]	[2.671 5.    5.    3.506 3.566 0.392 4.118 4.745]
18	[ 1023. -4282. -4282. -4282. -4282.]	[2.904 5.    5.    3.198 3.451 0.185 4.457 4.538]
143	[ 1022. -4362. -4362. -4362. -4362.]	[0.    5.    5.    2.336 3.662 0.361 2.549 5.   ]
119	[-4374. -4374.  1023. -4374. -4374.]	[2.251 5.    5.    3.4   3.59  0.433 3.831 4.754]
194	[-4258. -4258.  1022. -4258. -4258.]	[ 0.     5.     5.     2.19   3.43  -0.051  2.735  4.688]
169	[-4320. -4320.  1022. -4320. -4320.]	[0.    5.    5.    2.139 3.55  0.212 2.652 5.   ]
68	[ 1023. -4346. -4346. -4346. -4346.]	[2.792 5.    5.    3.485 3.55  0.369 4.209 4.726]
44	[-4347. -4347.  1023. -4347. -4347.]	[2.654 5.    5.    3.449 3.521 0.36  4.17  4.717]
19	[-4282. -4282.  1023. -4282. -4282.]	[2.908 5.    5.    3.196 3.451 0.184 4.46  4.537]
144	[-4363. -4363.  1022. -4363. -4363.]	[0.    5.    5.    2.309 3.662 0.385 2.541 5.   ]
94	[-4357. -4357.  1023. -4357. -4357.]	[2.693 5.    5.    3.502 3.564 0.39  4.136 4.742]
120	[-4429. -4429. -4429. -4429. -4429.]	[0.275 4.976 5.    3.288 3.647 0.649 2.641 4.95 ]
69	[-4342. -4342.  1023. -4342. -4342.]	[2.837 5.    5.    3.477 3.546 0.363 4.245 4.719]
195	[-4260. -4260. -4260. -4260. -4260.]	[ 0.     5.     5.     2.189  3.427 -0.047  2.74   4.703]
170	[-4322. -4322. -4322. -4322. -4322.]	[0.    5.    5.    2.13  3.546 0.226 2.661 5.   ]
45	[-4340. -4340. -4340. -4340. -4340.]	[2.742 5.    5.    3.436 3.525 0.351 4.216 4.705]
20	[-4356. -4356. -4356. -4356. -4356.]	[2.32  5.    5.    3.421 3.427 0.343 4.162 4.709]
95	[-4355. -4355. -4355. -4355. -4355.]	[2.709 5.    5.    3.498 3.562 0.388 4.152 4.74 ]
145	[-4364. -4364. -4364. -4364. -4364.]	[0.    5.    5.    2.284 3.653 0.41  2.541 5.   ]
121	[-4424. -4424. -4424. -4424. -4424.]	[0.525 5.    5.    3.298 3.721 0.661 2.658 4.938]
70	[-4339. -4339. -4339. -4339. -4339.]	[2.871 5.    5.    3.471 3.542 0.357 4.275 4.713]
196	[-4261. -4261. -4261. -4261. -4261.]	[ 0.     5.     5.     2.188  3.424 -0.043  2.744  4.715]
171	[-4325. -4325. -4325. -4325. -4325.]	[0.    5.    5.    2.123 3.542 0.236 2.67  5.   ]
46	[-4334. -4334. -4334. -4334. -4334.]	[2.807 5.    5.    3.423 3.524 0.34  4.259 4.692]
96	[-4354. -4354. -4354. -4354. -4354.]	[2.722 5.    5.    3.495 3.56  0.386 4.164 4.738]
21	[-4351. -4351. -4351. -4351. -4351.]	[2.424 5.    5.    3.414 3.451 0.343 4.167 4.707]
146	[-4365. -4365. -4365. -4365. -4365.]	[0.029 5.    5.    2.261 3.645 0.44  2.56  4.951]
122	[-4419. -4419. -4419. -4419. -4419.]	[0.725 5.    5.    3.289 3.767 0.659 2.688 4.913]
197	[-4263. -4263. -4263. -4263. -4263.]	[ 0.     5.     5.     2.188  3.422 -0.039  2.748  4.727]
71	[-4337. -4337. -4337. -4337. -4337.]	[2.896 5.    5.    3.465 3.538 0.352 4.298 4.707]
172	[-4327. -4327. -4327. -4327. -4327.]	[0.    5.    5.    2.117 3.538 0.245 2.678 5.   ]
47	[-4329. -4329. -4329. -4329. -4329.]	[2.848 5.    5.    3.41  3.519 0.328 4.294 4.679]
123	[ 1022. -4413. -4413. -4413. -4413.]	[0.896 5.    5.    3.261 3.79  0.648 2.737 4.888]
97	[-4353. -4353. -4353. -4353. -4353.]	[2.735 5.    5.    3.492 3.558 0.385 4.175 4.737]
22	[-4345. -4345. -4345. -4345. -4345.]	[2.535 5.    5.    3.404 3.472 0.34  4.19  4.701]
147	[-4367. -4367. -4367. -4367. -4367.]	[0.184 5.    5.    2.263 3.665 0.476 2.613 4.94 ]
198	[ 1022. -4264. -4264. -4264. -4264.]	[ 0.     5.     5.     2.188  3.419 -0.036  2.751  4.738]
173	[ 1022. -4328. -4328. -4328. -4328.]	[0.    5.    5.    2.113 3.534 0.251 2.685 5.   ]
72	[-4334. -4334. -4334. -4334. -4334.]	[2.914 5.    5.    3.459 3.535 0.347 4.316 4.702]
98	[ 1023. -4353. -4353. -4353. -4353.]	[2.745 5.    5.    3.49  3.556 0.383 4.184 4.735]
48	[ 1023. -4325. -4325. -4325. -4325.]	[2.87  5.    5.    3.397 3.513 0.314 4.321 4.667]
23	[ 1023. -4338. -4338. -4338. -4338.]	[2.635 5.    5.    3.39  3.488 0.333 4.219 4.689]
124	[-4407. -4407. -4407. -4407. -4407.]	[1.021 5.    5.    3.211 3.793 0.627 2.8   4.866]
148	[ 1022. -4368. -4368. -4368. -4368.]	[0.306 5.    5.    2.266 3.676 0.501 2.659 4.929]
73	[ 1023. -4333. -4333. -4333. -4333.]	[2.927 5.    5.    3.454 3.532 0.343 4.331 4.698]
174	[-4330. -4330. -4330. -4330. -4330.]	[0.    5.    5.    2.11  3.531 0.257 2.692 5.   ]
199	[-4265. -4265. -4265. -4265. -4265.]	[ 0.     5.     5.     2.189  3.418 -0.033  2.754  4.747]
49	[-4321. -4321. -4321. -4321. -4321.]	[2.878 5.    5.    3.383 3.506 0.301 4.341 4.655]
200	[-4096. -4096. -4096. -4096. -4096.]	[ 1.851  4.529  5.     2.59   3.647 -0.197  3.334  4.306]
24	[-4331. -4331. -4331. -4331. -4331.]	[2.71  5.    5.    3.375 3.496 0.32  4.249 4.674]
99	[-4352. -4352. -4352. -4352. -4352.]	[2.753 5.    5.    3.488 3.555 0.382 4.192 4.734]
149	[-4369. -4369. -4369. -4369. -4369.]	[0.403 5.    5.    2.269 3.681 0.518 2.701 4.92 ]
225	[-4012. -4012. -4012. -4012. -4012.]	[ 3.366  4.526  5.     2.929  3.925 -0.203  3.566  4.606]
74	[-4331. -4331. -4331. -4331. -4331.]	[2.935 5.    5.    3.45  3.529 0.338 4.342 4.693]
250	[-3797. -3797. -3797. -3797. -3797.]	[ 4.014  4.091  5.     3.288  3.906 -0.451  3.105  4.998]
275	[-3114. -3114. -3114. -3114. -3114.]	[ 4.119  3.494  5.     2.798  3.078 -0.808  2.503  4.205]
325	[-3120. -3120. -3120. -3120. -3120.]	[ 1.847  2.556  4.441  3.113  2.692 -0.661  1.839  2.919]
201	[-4105. -4105. -4105. -4105. -4105.]	[ 2.117  4.656  5.     2.623  3.74  -0.164  3.369  4.412]
300	[-2673. -2673. -2673. -2673. -2673.]	[ 2.139  2.557  4.653  2.301  2.467 -0.875  1.798  2.672]
350	[-2224. -2224. -2224. -2224. -2224.]	[ 1.405  3.305  4.295  2.864  2.092 -1.126  1.212  1.742]
375	[-2779. -2779. -2779. -2779. -2779.]	[ 1.788  3.009  4.561  2.835  2.478 -0.823  1.137  2.899]
226	[-4029. -4029. -4029. -4029. -4029.]	[ 3.23   4.56   5.     2.853  3.896 -0.204  3.53   4.593]
251	[-3801. -3801. -3801. -3801. -3801.]	[ 3.996  4.094  5.     3.303  3.913 -0.452  3.101  5.   ]
276	[-3114. -3114. -3114. -3114. -3114.]	[ 4.101  3.49   5.     2.793  3.075 -0.808  2.501  4.197]
202	[-4116. -4116. -4116. -4116. -4116.]	[ 2.091  4.705  5.     2.632  3.756 -0.149  3.329  4.386]
326	[-3259. -3259. -3259. -3259. -3259.]	[ 3.196  2.876  4.834  3.336  3.078 -0.555  1.95   3.669]
301	[-2673. -2673. -2673. -2673. -2673.]	[ 1.355  2.833  4.547  2.282  2.295 -0.997  1.569  2.55 ]
252	[ 1024. -3803. -3803. -3803. -3803.]	[ 3.991  4.1    5.     3.303  3.928 -0.45   3.099  5.   ]
227	[-4035. -4035. -4035. -4035. -4035.]	[ 3.157  4.55   5.     2.851  3.892 -0.209  3.5    4.625]
376	[-2769. -2769. -2769. -2769. -2769.]	[ 1.468  3.114  4.435  2.766  2.421 -0.866  1.102  2.811]
351	[-2239. -2239. -2239. -2239. -2239.]	[ 1.282  3.366  4.239  2.853  2.065 -1.148  1.206  1.718]
277	[ 1029. -3114. -3114. -3114. -3114.]	[ 4.08   3.488  5.     2.791  3.068 -0.81   2.496  4.192]
203	[-4124. -4124. -4124. -4124. -4124.]	[ 2.046  4.733  5.     2.626  3.755 -0.15   3.298  4.446]
327	[ 1028. -3285. -3285. -3285. -3285.]	[ 3.165  2.992  4.833  3.343  3.166 -0.549  1.894  3.688]
228	[-4037. -4037. -4037. -4037. -4037.]	[ 3.159  4.581  5.     2.856  3.889 -0.209  3.504  4.654]
302	[ 1034. -2699. -2699. -2699. -2699.]	[ 1.169  3.288  4.359  2.249  2.274 -1.087  1.557  2.57 ]
253	[-3805. -3805. -3805. -3805. -3805.]	[ 3.986  4.094  5.     3.311  3.937 -0.448  3.096  5.   ]
377	[ 1030. -2774. -2774. -2774. -2774.]	[ 1.47   3.101  4.436  2.79   2.415 -0.868  1.112  2.799]
352	[ 1042. -2255. -2255. -2255. -2255.]	[ 1.256  3.421  4.255  2.891  2.07  -1.17   1.213  1.709]
278	[-3114. -3114. -3114. -3114. -3114.]	[ 4.059  3.488  5.     2.792  3.064 -0.811  2.487  4.188]
204	[-4125. -4125. -4125. -4125. -4125.]	[ 1.958  4.736  5.     2.595  3.746 -0.15   3.267  4.447]
328	[-3297. -3297. -3297. -3297. -3297.]	[ 3.089  3.572  4.945  3.409  2.945 -0.534  1.684  3.586]
229	[-4040. -4040. -4040. -4040. -4040.]	[ 3.135  4.592  5.     2.854  3.886 -0.209  3.506  4.666]
